symbol,company,iSIN,qty,averageCostPrice,currentMarketPrice,changeoverprevclosePct,valueAtCost,valueAtMarketPrice,daysGain,daysGainPct,realizedProfitNLoss,unrealizedProfitNLoss,unrealizedProfitNLossPct
ONGC,OIL AND NATURAL GAS CORPORATIO,INE213A01029,850,80.54,81.95,1.99,68459,69657.5,-1360,-5121.87,135.25,1198.5,1.75
PIRENT,PIRAMAL ENTERPRISES LIMITED,INE140A01024,55,752.62,1367.3,-9.52,41394.1,75201.5,7914.5,950.17,0,33807.4,81.67
PREEST,PRESTIGE ESTATES PROJECTS LIMI,INE811K01011,305,138.86,247.9,-5.76,42352.3,75609.5,4620.75,1636.3,0,33257.2,78.53
RELCAP,RELIANCE CAPITAL LIMITED,INE013A01015,27850,17.24,9.85,-4.83,480134,274322.5,13925,1970,541.89,-205811.5,-42.87
RELDEF,RELIANCE NAVAL ENGINEERING LTD,INE542F01012,8500,11.26,4.21,4.47,95710,35785,-1530,-2338.89,0,-59925,-62.61
RELHOM,RELIANCE HOME FINANCE LTD,INE217K01011,38250,3.9,2.15,-4.44,149175,82237.5,3825,2150,0,-66937.5,-44.87
RELINF,RELIANCE INFRASTRUCTURE LTD,INE036A01016,21295,39.96,28.45,-4.85,850948.2,605842.75,30877.75,1962.07,14693.09,-245105.45,-28.8
RURELE,REC LIMITED,INE020B01018,10,93.17,106.15,-4.84,931.7,1061.5,54,1965.74,0,129.8,13.93
SBILIF,SBI LIFE INSURANCE COMPANY LTD,INE123W01016,2,718.92,827.75,-2.79,1437.84,1655.5,47.6,3477.94,0,217.66,15.14
SHOSTO,SHOPPERS STOP LIMITED,INE498B01024,250,143.33,179.85,-4.99,35832.5,44962.5,2362.5,1903.17,0,9130,25.48
SHRTRA,SHRIRAM TRANSPORT FINANCE CO,INE721A01013,250,577.36,702.45,-9.1,144340,175612.5,17575,999.22,0,31272.5,21.67
SOBDEV,SOBHA LIMITED,INE671H01015,50,140.25,261.85,-2.09,7012.5,13092.5,280,4675.89,0,6080,86.7
TATMOT,TATA MOTORS LIMITED,INE155A01022,1250,136.2,143.2,0.28,170250,179000,-500,-35800,-172.73,8750,5.14
TATSTE,TATA STEEL LIMITED,INE081A01012,50,277.44,413,-2.64,13872,20650,560,3687.5,0,6778,48.86
UCOBAN,UCO BANK,INE691A01018,1250,10.4,13.65,-2.15,13000,17062.5,375,4550,0,4062.5,31.25
UNIBAN,UNION BANK OF INDIA,INE692A01016,1000,28.4,30.2,-3.82,28400,30200,1200,2516.67,0,1800,6.34
UNIP,UPL LIMITED,INE628A01036,2,360.8,505.95,-2.56,721.6,1011.9,26.6,3804.14,0,290.3,40.23
UNITEC,UNITECH LTD,INE694A01020,6750,4.89,1.75,-2.78,33007.5,11812.5,337.5,3500,0,-21195,-64.21
VATWAB,VA TECH WABAG LIMITED,INE956G01038,25,109.98,191.35,-7.94,2749.5,4783.75,412.5,1159.7,0,2034.25,73.99
VEDLIM,VEDANTA LIMITED,INE205A01025,1000,130.96,128.65,-0.16,130960,128650,200,64325,0,-2310,-1.76
VENIND,VENKYS INDIA LIMITED,INE398A01010,15,615.41,1488.9,-0.98,9231.15,22333.5,222,10060.14,0,13102.35,141.94
YESBAN,YES BANK LIMITED,INE528G01035,6380,34.81,14.35,-4.33,222087.8,91553,4147,2207.69,1047.21,-130534.8,-58.78
